Sign_Number,SOL,INI,MED,FIN,TOT
203,0,2,0,0,2
335,0,2,0,0,2
355,0,2,0,0,2
416,0,2,0,0,2
11,0,1,1,0,2
43,0,1,1,0,2
77,0,1,1,0,2
116,0,1,1,0,2
159,0,1,1,0,2
181,0,1,1,0,2
376,0,1,1,0,2
378,0,1,1,0,2
394,0,1,1,0,2
4,0,1,0,1,2
30,0,1,0,1,2
276,0,1,0,1,2
278,0,1,0,1,2
280,0,1,0,1,2
312,0,1,0,1,2
313,1,1,0,0,2
21,0,0,2,0,2
36,0,0,2,0,2
49,0,0,2,0,2
64,0,0,2,0,2
74,0,0,2,0,2
105,0,0,2,0,2
257,0,0,2,0,2
309,0,0,2,0,2
324,0,0,2,0,2
359,0,0,2,0,2
368,0,0,2,0,2
369,0,0,2,0,2
24,0,0,1,1,2
140,0,0,1,1,2
213,1,0,1,0,2
5,0,0,0,2,2
91,0,0,0,2,2
31,2,0,0,0,2
44,2,0,0,0,2
346,2,0,0,0,2
362,2,0,0,0,2
16,0,1,0,0,1
20,0,1,0,0,1
23,0,1,0,0,1
26,0,1,0,0,1
37,0,1,0,0,1
42,0,1,0,0,1
79,0,1,0,0,1
92,0,1,0,0,1
101,0,1,0,0,1
117,0,1,0,0,1
122,0,1,0,0,1
131,0,1,0,0,1
133,0,1,0,0,1
147,0,1,0,0,1
151,0,1,0,0,1
152,0,1,0,0,1
154,0,1,0,0,1
164,0,1,0,0,1
170,0,1,0,0,1
179,0,1,0,0,1
191,0,1,0,0,1
196,0,1,0,0,1
200,0,1,0,0,1
208,0,1,0,0,1
218,0,1,0,0,1
239,0,1,0,0,1
241,0,1,0,0,1
243,0,1,0,0,1
246,0,1,0,0,1
248,0,1,0,0,1
255,0,1,0,0,1
265,0,1,0,0,1
270,0,1,0,0,1
271,0,1,0,0,1
281,0,1,0,0,1
285,0,1,0,0,1
291,0,1,0,0,1
300,0,1,0,0,1
306,0,1,0,0,1
317,0,1,0,0,1
320,0,1,0,0,1
350,0,1,0,0,1
351,0,1,0,0,1
353,0,1,0,0,1
354,0,1,0,0,1
361,0,1,0,0,1
366,0,1,0,0,1
372,0,1,0,0,1
383,0,1,0,0,1
399,0,1,0,0,1
411,0,1,0,0,1
33,0,0,1,0,1
39,0,0,1,0,1
61,0,0,1,0,1
82,0,0,1,0,1
145,0,0,1,0,1
148,0,0,1,0,1
157,0,0,1,0,1
185,0,0,1,0,1
220,0,0,1,0,1
227,0,0,1,0,1
236,0,0,1,0,1
251,0,0,1,0,1
260,0,0,1,0,1
273,0,0,1,0,1
279,0,0,1,0,1
288,0,0,1,0,1
299,0,0,1,0,1
308,0,0,1,0,1
310,0,0,1,0,1
314,0,0,1,0,1
349,0,0,1,0,1
352,0,0,1,0,1
356,0,0,1,0,1
357,0,0,1,0,1
360,0,0,1,0,1
370,0,0,1,0,1
382,0,0,1,0,1
385,0,0,1,0,1
396,0,0,1,0,1
414,0,0,1,0,1
13,0,0,0,1,1
46,0,0,0,1,1
52,0,0,0,1,1
156,0,0,0,1,1
166,0,0,0,1,1
168,0,0,0,1,1
207,0,0,0,1,1
231,0,0,0,1,1
232,0,0,0,1,1
262,0,0,0,1,1
274,0,0,0,1,1
315,0,0,0,1,1
316,0,0,0,1,1
318,0,0,0,1,1
339,0,0,0,1,1
401,0,0,0,1,1
410,0,0,0,1,1
413,0,0,0,1,1
85,1,0,0,0,1
88,1,0,0,0,1
115,1,0,0,0,1
118,1,0,0,0,1
144,1,0,0,0,1
165,1,0,0,0,1
235,1,0,0,0,1
266,1,0,0,0,1
269,1,0,0,0,1
377,1,0,0,0,1
392,1,0,0,0,1
405,1,0,0,0,1
408,1,0,0,0,1
