Sign_Number,SOL,INI,MED,FIN,TOT
265,0,1,0,0,1
266,1,0,0,0,1
267,1,298,62,15,376
268,0,0,4,0,4
269,1,0,0,0,1
270,0,1,0,0,1
271,0,1,0,0,1
272,0,1,0,2,3
273,0,0,1,0,1
274,0,0,0,1,1
275,0,0,0,5,5
276,0,1,0,1,2
277,0,0,4,7,11
278,0,1,0,1,2
279,0,0,1,0,1
280,0,1,0,1,2
281,0,1,0,0,1
282,0,0,0,3,3
283,0,1,0,3,4
284,0,18,11,12,41
285,0,1,0,0,1
286,0,13,2,0,15
287,0,17,69,2,88
288,0,0,1,0,1
289,0,2,3,0,5
290,0,2,1,0,3
291,0,1,0,0,1
292,0,6,2,0,8
293,0,72,61,3,136
294,0,4,49,0,53
295,0,9,0,0,9
296,0,4,31,0,35
297,0,1,4,1,6
298,0,2,2,0,4
299,0,0,1,0,1
300,0,1,0,0,1
301,0,4,9,0,13
302,0,2,9,2,13
303,0,3,6,2,11
304,0,0,11,0,11
305,0,3,0,0,3
306,0,1,0,0,1
307,1,15,36,17,69
308,0,0,1,0,1
309,0,0,2,0,2
310,0,0,1,0,1
311,0,3,0,0,3
312,0,1,0,1,2
313,1,1,0,0,2
314,0,0,1,0,1
315,0,0,0,1,1
316,0,0,0,1,1
317,0,1,0,0,1
318,0,0,0,1,1
319,0,6,12,9,27
320,0,1,0,0,1
321,0,0,1,12,13
322,0,0,4,0,4
323,0,3,7,0,10
324,0,0,2,0,2
325,0,5,8,0,13
326,7,7,20,1,35
327,0,12,29,1,42
328,1,19,29,274,323
329,0,2,5,0,7
330,0,5,3,0,8
331,0,3,2,0,5
332,0,0,2,1,3
333,0,1,2,0,3
334,0,1,2,1,4
335,0,2,0,0,2
336,1,65,168,2,236
337,0,5,0,0,5
338,0,0,3,0,3
339,0,0,0,1,1
340,0,1,2,2,5
341,0,11,45,3,59
342,3,1,420,971,1395
343,0,20,152,5,177
344,3,4,26,2,35
345,0,25,24,2,51
346,2,0,0,0,2
347,0,1,116,1,118
348,1,1,20,0,22
349,0,0,1,0,1
350,0,1,0,0,1
351,0,1,0,0,1
352,0,0,1,0,1
353,0,1,0,0,1
354,0,1,0,0,1
355,0,2,0,0,2
356,0,0,1,0,1
357,0,0,1,0,1
358,0,0,32,0,32
359,0,0,2,0,2
360,0,0,1,0,1
361,0,1,0,0,1
362,2,0,0,0,2
363,3,0,0,0,3
364,1,1,1,0,3
365,0,3,1,0,4
366,0,1,0,0,1
367,0,0,5,3,8
368,0,0,2,0,2
369,0,0,2,0,2
370,0,0,1,0,1
371,0,1,2,0,3
372,0,1,0,0,1
373,0,19,29,13,61
374,9,0,0,0,9
375,0,14,31,12,57
376,0,1,1,0,2
377,1,0,0,0,1
378,0,1,1,0,2
379,0,11,6,0,17
380,0,0,5,0,5
381,0,0,13,1,14
382,0,0,1,0,1
383,0,1,0,0,1
384,1,2,3,1,7
385,0,0,1,0,1
386,0,6,6,0,12
387,0,30,72,0,102
388,0,0,4,4,8
389,0,65,69,0,134
390,0,0,2,1,3
391,3,135,41,16,195
392,1,0,0,0,1
393,5,0,0,2,7
394,0,1,1,0,2
395,0,3,3,1,7
396,0,0,1,0,1
397,1,9,3,0,13
398,0,5,2,0,7
399,0,1,0,0,1
400,0,5,8,1,14
401,0,0,0,1,1
402,1,7,61,30,99
403,2,16,74,1,93
404,0,0,0,5,5
405,1,0,0,0,1
406,0,2,10,1,13
407,0,0,47,1,48
408,1,0,0,0,1
409,1,14,11,0,26
410,0,0,0,1,1
411,0,1,0,0,1
412,0,4,0,0,4
413,0,0,0,1,1
414,0,0,1,0,1
415,0,4,3,2,9
416,0,2,0,0,2
417,1,4,0,0,5
